name, first set, first rarity, first date, earliest non-common set, earliest non-common rarity, earliest non-common date, downshift set, downshift rarity, downshift date
Circle of Protection: Green, Limited Edition Alpha, common, 1993-08-05, Eighth Edition, uncommon, 2003-07-28, 30th Anniversary Edition, common, 2022-11-28,
Cabal Ritual, Torment, common, 2002-02-04, Vintage Masters, uncommon, 2014-06-16, Mystery Booster 2, common, 2024-08-02,
Fountain of Youth, The Dark, uncommon, 1994-08-01, The Dark, uncommon, 1994-08-01, Chronicles Foreign Black Border, common, 1995-07-01,
Evolving Wilds, Rise of the Eldrazi, common, 2010-04-23, Friday Night Magic 2012, rare, 2012-01-01, Dark Ascension, common, 2012-02-03,
Disintegrate, Limited Edition Alpha, common, 1993-08-05, Time Spiral Timeshifted, special, 2006-10-06, 30th Anniversary Edition, common, 2022-11-28,
Searing Spear, Magic 2013, common, 2012-07-13, Friday Night Magic 2013, rare, 2013-01-01, Magic Online Promos, common, 2013-04-09,
Lightning Bolt, Limited Edition Alpha, common, 1993-08-05, Judge Gift Cards 1998, rare, 1998-01-01, Anthologies, common, 1998-11-01,
Snuff Out, Mercadian Masques, common, 1999-10-04, Doctor Who, uncommon, 2023-10-13, Mystery Booster 2, common, 2024-08-02,
Murder, Magic 2013, common, 2012-07-13, Eldritch Moon, uncommon, 2016-07-22, Conspiracy: Take the Crown, common, 2016-08-26,
Quicksand, Visions, uncommon, 1997-02-03, Visions, uncommon, 1997-02-03, Worldwake, common, 2010-02-05,
Rampant Growth, Mirage, common, 1996-10-08, Magic Player Rewards 2009, rare, 2009-01-01, Magic 2010, common, 2009-07-17,
Spectral Searchlight, Ravnica: City of Guilds, uncommon, 2005-10-07, Ravnica: City of Guilds, uncommon, 2005-10-07, Commander Legends, common, 2020-11-20,
Armadillo Cloak, Invasion, common, 2000-10-02, Friday Night Magic 2006, rare, 2006-01-01, Duel Decks: Phyrexia vs. the Coalition, common, 2010-03-19,
Meandering River, Oath of the Gatewatch, uncommon, 2016-01-22, Oath of the Gatewatch, uncommon, 2016-01-22, Amonkhet, common, 2017-04-28,
Dragon Egg, Magic 2014, uncommon, 2013-07-19, Magic 2014, uncommon, 2013-07-19, Eternal Masters, common, 2016-06-10,
Elvish Aberration, Arena League 2003, rare, 2003-01-01, Arena League 2003, rare, 2003-01-01, Conspiracy, common, 2014-06-06,
Vizier of Tumbling Sands, Amonkhet, uncommon, 2017-04-28, Amonkhet, uncommon, 2017-04-28, Commander Masters, common, 2023-08-04,
Wild Growth, Limited Edition Alpha, common, 1993-08-05, Media Inserts, rare, 2022-06-24, 30th Anniversary Edition, common, 2022-11-28,
Shock, Stronghold, common, 1998-03-02, Friday Night Magic 2000, rare, 2000-01-01, Beatdown Box Set, common, 2000-10-01,
Opt, Invasion, common, 2000-10-02, Secret Lair Drop, rare, 2020-09-03, Jumpstart 2022, common, 2022-12-02,
Orcish Vandal, Dominaria, uncommon, 2018-04-27, Dominaria, uncommon, 2018-04-27, Double Masters, common, 2020-08-07,
Golgari Rot Farm, Ravnica: City of Guilds, common, 2005-10-07, Modern Masters 2015, uncommon, 2015-05-22, Commander 2015, common, 2015-11-13,
Briarbridge Patrol, Shadows over Innistrad, uncommon, 2016-04-08, Shadows over Innistrad, uncommon, 2016-04-08, Shadows over Innistrad Remastered, common, 2023-03-21,
Trumpet Blast, Urza's Destiny, common, 1999-06-07, Battlebond, uncommon, 2018-06-08, Core Set 2019, common, 2018-07-13,
Lead the Stampede, Mirrodin Besieged, uncommon, 2011-02-04, Mirrodin Besieged, uncommon, 2011-02-04, Iconic Masters, common, 2017-11-17,
Obsianus Golem, Limited Edition Alpha, uncommon, 1993-08-05, Limited Edition Alpha, uncommon, 1993-08-05, Masters Edition IV, common, 2011-01-10,
Ornithopter, Antiquities, common, 1994-03-04, Revised Edition, uncommon, 1994-04-11, Magic 2015, common, 2014-07-18,
Bottle Gnomes, Tempest, uncommon, 1997-10-14, Tempest, uncommon, 1997-10-14, Tempest Remastered, common, 2015-05-06,
Exclude, Invasion, common, 2000-10-02, Masters 25, uncommon, 2018-03-16, Commander Masters, common, 2023-08-04,
Rakdos Carnarium, Dissension, common, 2006-05-05, Modern Masters 2015, uncommon, 2015-05-22, Commander Anthology, common, 2017-06-09,
Fire Elemental, Limited Edition Alpha, uncommon, 1993-08-05, Limited Edition Alpha, uncommon, 1993-08-05, Magic 2013, common, 2012-07-13,
Strategic Planning, Portal Three Kingdoms, uncommon, 1999-05-01, Portal Three Kingdoms, uncommon, 1999-05-01, Masters Edition III, common, 2009-09-07,
Fire Diamond, Mirage, uncommon, 1996-10-08, Mirage, uncommon, 1996-10-08, Commander Legends, common, 2020-11-20,
Merfolk of the Depths, Gatecrash, uncommon, 2013-02-01, Gatecrash, uncommon, 2013-02-01, Ravnica Remastered, common, 2024-01-12,
You Find Some Prisoners, Adventures in the Forgotten Realms, uncommon, 2021-07-23, Adventures in the Forgotten Realms, uncommon, 2021-07-23, Alchemy Horizons: Baldur's Gate, common, 2022-07-07,
Generous Gift, Modern Horizons, uncommon, 2019-06-14, Modern Horizons, uncommon, 2019-06-14, Commander Masters, common, 2023-08-04,
Counterspell, Limited Edition Alpha, uncommon, 1993-08-05, Limited Edition Alpha, uncommon, 1993-08-05, Ice Age, common, 1995-06-03,
Submerged Boneyard, Oath of the Gatewatch, uncommon, 2016-01-22, Oath of the Gatewatch, uncommon, 2016-01-22, Aether Revolt, common, 2017-01-20,
Eyeblight Massacre, Magic Origins, uncommon, 2015-07-17, Magic Origins, uncommon, 2015-07-17, Commander Legends, common, 2020-11-20,
Glacial Wall, Ice Age, uncommon, 1995-06-03, Ice Age, uncommon, 1995-06-03, Eternal Masters, common, 2016-06-10,
Deadly Dispute, Adventures in the Forgotten Realms, common, 2021-07-23, 30th Anniversary Play Promos, rare, 2022-09-02, The List, common, 2023-11-17,
Power Sink, Limited Edition Alpha, common, 1993-08-05, Fifth Edition, uncommon, 1997-03-24, Tempest, common, 1997-10-14,
Faerie Seer, Modern Horizons, common, 2019-06-14, Modern Horizons 1 Timeshifts, uncommon, 2021-06-18, Jumpstart: Historic Horizons, common, 2021-08-26,
Duress, Urza's Saga, common, 1998-10-12, Arena League 2000, rare, 2000-01-01, Seventh Edition, common, 2001-04-11,
Flame Slash, Rise of the Eldrazi, common, 2010-04-23, Store Championships, rare, 2022-07-09, The List, common, 2024-08-02,
Sparkspitter, Future Sight, uncommon, 2007-05-04, Future Sight, uncommon, 2007-05-04, Ultimate Masters, common, 2018-12-07,
Thraben Inspector, Shadows over Innistrad, common, 2016-04-08, Time Spiral Remastered, special, 2021-03-19, Jumpstart 2022, common, 2022-12-02,
Terror, Limited Edition Alpha, common, 1993-08-05, Friday Night Magic 2000, rare, 2000-01-01, Beatdown Box Set, common, 2000-10-01,
Revive, Mercadian Masques, uncommon, 1999-10-04, Mercadian Masques, uncommon, 1999-10-04, Modern Masters 2017, common, 2017-03-17,
Azure Drake, Legends, uncommon, 1994-06-01, Legends, uncommon, 1994-06-01, Magic 2011, common, 2010-07-16,
Predatory Impetus, Commander 2020, uncommon, 2020-04-17, Commander 2020, uncommon, 2020-04-17, Commander Legends: Battle for Baldur's Gate, common, 2022-06-10,
Tectonic Rift, Magic 2012, uncommon, 2011-07-15, Magic 2012, uncommon, 2011-07-15, Core Set 2020, common, 2019-07-12,
Swarm of Rats, Portal Second Age, common, 1998-06-24, Eighth Edition, uncommon, 2003-07-28, The List, common, 2024-08-02,
Bojuka Bog, Worldwake, common, 2010-02-05, Legendary Cube Prize Pack, uncommon, 2015-11-18, Commander Anthology, common, 2017-06-09,
Reverse Engineer, Friday Night Magic 2017, rare, 2017-01-01, Friday Night Magic 2017, rare, 2017-01-01, Commander Masters, common, 2023-08-04,
Claws of Wirewood, Scourge, uncommon, 2003-05-26, Scourge, uncommon, 2003-05-26, Vintage Masters, common, 2014-06-16,
Repentant Blacksmith, Arabian Nights, rare, 1993-12-17, Arabian Nights, rare, 1993-12-17, Chronicles, common, 1995-07-01,
Simic Growth Chamber, Dissension, common, 2006-05-05, Magic Online Theme Decks, uncommon, 2010-11-08, Commander 2011, common, 2011-06-17,
Bone Picker, Amonkhet, uncommon, 2017-04-28, Amonkhet, uncommon, 2017-04-28, Double Masters, common, 2020-08-07,
Krosan Tusker, Onslaught, common, 2002-10-07, Friday Night Magic 2003, rare, 2003-01-01, Duel Decks: Garruk vs. Liliana, common, 2009-10-30,
Stealer of Secrets, Return to Ravnica, common, 2012-10-05, URL/Convention Promos, rare, 2014-04-11, Welcome Deck 2017, common, 2017-04-15,
Spell Blast, Limited Edition Alpha, common, 1993-08-05, Magic 2014, uncommon, 2013-07-19, Tempest Remastered, common, 2015-05-06,
Spell Pierce, Zendikar, common, 2009-10-02, Amonkhet Invocations, special, 2017-04-28, Ixalan, common, 2017-09-29,
Boros Garrison, Ravnica: City of Guilds, common, 2005-10-07, Modern Masters 2015, uncommon, 2015-05-22, Commander 2015, common, 2015-11-13,
Stone Rain, Limited Edition Alpha, common, 1993-08-05, Friday Night Magic 2000, rare, 2000-01-01, World Championship Decks 2000, common, 2000-08-02,
Ripscale Predator, Gatecrash, uncommon, 2013-02-01, Gatecrash, uncommon, 2013-02-01, Core Set 2020, common, 2019-07-12,
Village Rites, Core Set 2021, common, 2020-07-03, Strixhaven Mystical Archive, uncommon, 2021-04-23, Game Night: Free-for-All, common, 2022-10-14,
Okina Nightwatch, Arena League 2005, rare, 2005-01-01, Arena League 2005, rare, 2005-01-01, Saviors of Kamigawa, common, 2005-06-03,
Nature's Lore, Ice Age, uncommon, 1995-06-03, Ice Age, uncommon, 1995-06-03, Fifth Edition, common, 1997-03-24,
Grapeshot, Time Spiral, common, 2006-10-06, Strixhaven Mystical Archive, rare, 2021-04-23, Dominaria Remastered, common, 2023-01-13,
Monk Idealist, Urza's Saga, uncommon, 1998-10-12, Urza's Saga, uncommon, 1998-10-12, Eternal Masters, common, 2016-06-10,
Arcane Signet, Throne of Eldraine, common, 2019-10-04, Commander Legends, uncommon, 2020-11-20, Kaldheim Commander, common, 2021-02-05,
Thermokarst, Ice Age, uncommon, 1995-06-03, Ice Age, uncommon, 1995-06-03, Masters Edition II, common, 2008-09-22,
Corrupt, Urza's Saga, common, 1998-10-12, Magic Player Rewards 2008, rare, 2008-01-01, The List, common, 2024-08-02,
Drown in Sorrow, Born of the Gods, uncommon, 2014-02-07, Born of the Gods, uncommon, 2014-02-07, Commander Masters, common, 2023-08-04,
Gift of Paradise, Amonkhet, common, 2017-04-28, Core Set 2019, uncommon, 2018-07-13, Core Set 2020, common, 2019-07-12,
Meteorite, Magic 2015, uncommon, 2014-07-18, Magic 2015, uncommon, 2014-07-18, Dominaria United, common, 2022-09-09,
Magma Jet, Fifth Dawn, uncommon, 2004-06-04, Fifth Dawn, uncommon, 2004-06-04, Modern Masters 2017, common, 2017-03-17,
Snake Umbra, Rise of the Eldrazi, common, 2010-04-23, Ultimate Masters, uncommon, 2018-12-07, The List, common, 2019-11-07,
Brainstorm, Ice Age, common, 1995-06-03, Friday Night Magic 2004, rare, 2004-01-01, Coldsnap Theme Decks, common, 2006-07-21,
Drain Life, Limited Edition Alpha, common, 1993-08-05, Oversized League Prizes, rare, 1999-01-01, Beatdown Box Set, common, 2000-10-01,
Seraph Sanctuary, Avacyn Restored, common, 2012-05-04, Secret Lair Drop, rare, 2023-04-23, The List, common, 2023-08-10,
Gather Courage, Ravnica: City of Guilds, common, 2005-10-07, Magic 2015, uncommon, 2014-07-18, GRN Guild Kit, common, 2018-11-02,
Dragon Engine, Antiquities, common, 1994-03-04, Revised Edition, rare, 1994-04-11, Masters Edition, common, 2007-09-10,
Blood Lust, Legends, uncommon, 1994-06-01, Legends, uncommon, 1994-06-01, Fourth Edition, common, 1995-04-01,
Command Tower, Commander 2011, common, 2011-06-17, Judge Gift Cards 2012, rare, 2012-01-01, Commander's Arsenal, common, 2012-11-02,
Ghost Ship, The Dark, common, 1994-08-01, Fourth Edition Foreign Black Border, uncommon, 1995-04-01, Renaissance, common, 1995-08-01,
Gravedigger, Portal, uncommon, 1997-05-01, Portal, uncommon, 1997-05-01, Tempest, common, 1997-10-14,
Staunch Defenders, Tempest, uncommon, 1997-10-14, Tempest, uncommon, 1997-10-14, Tempest Remastered, common, 2015-05-06,
Urza's Power Plant, Antiquities, common, 1994-03-04, Antiquities, uncommon, 1994-03-04, Rinascimento, common, 1995-08-01,
Snow-Covered Mountain, Ice Age, common, 1995-06-03, Secret Lair Drop, rare, 2019-12-04, Kaldheim, common, 2021-02-05,
Walker of the Grove, Morningtide, uncommon, 2008-02-01, Morningtide, uncommon, 2008-02-01, Modern Masters, common, 2013-06-07,
Stronghold Discipline, Nemesis, common, 2000-02-14, Tenth Edition, uncommon, 2007-07-13, Conspiracy, common, 2014-06-06,
Ghitu Slinger, Urza's Legacy, common, 1999-02-15, Eternal Masters, uncommon, 2016-06-10, The List, common, 2024-08-02,
Commander's Sphere, Commander 2014, common, 2014-11-07, Judge Gift Cards 2018, rare, 2018-01-01, Commander Anthology Volume II, common, 2018-06-08,
Rupture Spire, Conflux, common, 2009-02-06, Core Set 2019, uncommon, 2018-07-13, Commander 2020, common, 2020-04-17,
Nantuko Husk, Onslaught, common, 2002-10-07, Ninth Edition, uncommon, 2005-07-29, Magic Origins, common, 2015-07-17,
Furnace Whelp, Fifth Dawn, uncommon, 2004-06-04, Fifth Dawn, uncommon, 2004-06-04, Iconic Masters, common, 2017-11-17,
Armor Sliver, Tempest, uncommon, 1997-10-14, Tempest, uncommon, 1997-10-14, Tempest Remastered, common, 2015-05-06,
Bonesplitter, Arena League 2003, rare, 2003-01-01, Arena League 2003, rare, 2003-01-01, Mirrodin, common, 2003-10-02,
Terramorphic Expanse, Salvat 2005, common, 2005-08-22, Secret Lair Drop, rare, 2021-04-26, Forgotten Realms Commander, common, 2021-07-23,
Fierce Empath, Scourge, common, 2003-05-26, Masters 25, uncommon, 2018-03-16, Duel Decks: Elves vs. Inventors, common, 2018-04-06,
Petals of Insight, Champions of Kamigawa, uncommon, 2004-10-01, Champions of Kamigawa, uncommon, 2004-10-01, Modern Masters, common, 2013-06-07,
Elite Vanguard, Magic 2010, uncommon, 2009-07-17, Magic 2010, uncommon, 2009-07-17, Eternal Masters, common, 2016-06-10,
Earth Elemental, Limited Edition Alpha, uncommon, 1993-08-05, Limited Edition Alpha, uncommon, 1993-08-05, Iconic Masters, common, 2017-11-17,
Vedalken Infuser, Mirrodin Besieged, uncommon, 2011-02-04, Mirrodin Besieged, uncommon, 2011-02-04, Double Masters, common, 2020-08-07,
Orzhov Basilica, Guildpact, common, 2006-02-03, Modern Masters 2015, uncommon, 2015-05-22, Commander 2015, common, 2015-11-13,
Canker Abomination, Eventide, uncommon, 2008-07-25, Eventide, uncommon, 2008-07-25, Ultimate Masters, common, 2018-12-07,
Stream of Life, Limited Edition Alpha, common, 1993-08-05, Eighth Edition, uncommon, 2003-07-28, 30th Anniversary Edition, common, 2022-11-28,
Befoul, Urza's Saga, common, 1998-10-12, Seventh Edition, uncommon, 2001-04-11, Champions of Kamigawa, common, 2004-10-01,
Abundant Harvest, Strixhaven Mystical Archive, rare, 2021-04-23, Strixhaven Mystical Archive, rare, 2021-04-23, Modern Horizons 2, common, 2021-06-18,
Painful Memories, Mirage, uncommon, 1996-10-08, Mirage, uncommon, 1996-10-08, Classic Sixth Edition, common, 1999-04-21,
Living Lightning, Jumpstart, uncommon, 2020-07-17, Jumpstart, uncommon, 2020-07-17, Double Masters 2022, common, 2022-07-08,
Leonin Scimitar, Mirrodin, common, 2003-10-02, Tenth Edition, uncommon, 2007-07-13, Jumpstart 2022, common, 2022-12-02,
Shu General, Portal Three Kingdoms, uncommon, 1999-05-01, Portal Three Kingdoms, uncommon, 1999-05-01, Masters Edition III, common, 2009-09-07,
Orzhov Signet, Guildpact, common, 2006-02-03, Magic Online Promos, uncommon, 2014-10-17, Commander 2015, common, 2015-11-13,
Cancel, Time Spiral, common, 2006-10-06, Magic Player Rewards 2010, rare, 2010-01-01, Duels of the Planeswalkers, common, 2010-06-04,
Veteran Cavalier, Starter 1999, uncommon, 1999-07-01, Starter 1999, uncommon, 1999-07-01, Ninth Edition, common, 2005-07-29,
Sol Ring, Limited Edition Alpha, uncommon, 1993-08-05, Limited Edition Alpha, uncommon, 1993-08-05, 30th Anniversary Edition, common, 2022-11-28,
Impulse, Visions, common, 1997-02-03, Friday Night Magic 2001, rare, 2001-01-01, Magic Online Promos, common, 2013-01-11,
Mammoth Umbra, Rise of the Eldrazi, uncommon, 2010-04-23, Rise of the Eldrazi, uncommon, 2010-04-23, Ultimate Masters, common, 2018-12-07,
Silent Dart, Guilds of Ravnica, uncommon, 2018-10-05, Guilds of Ravnica, uncommon, 2018-10-05, Core Set 2021, common, 2020-07-03,
Path of Ancestry, Treasure Chest, common, 2016-11-16, Secret Lair Drop, rare, 2021-02-22, Forgotten Realms Commander, common, 2021-07-23,
Snow-Covered Forest, Ice Age, common, 1995-06-03, Secret Lair Drop, rare, 2019-12-04, Kaldheim, common, 2021-02-05,
Kjeldoran Elite Guard, Ice Age, uncommon, 1995-06-03, Ice Age, uncommon, 1995-06-03, Masters Edition II, common, 2008-09-22,
Spreading Seas, Zendikar, common, 2009-10-02, Wilds of Eldraine: Enchanting Tales, uncommon, 2023-09-08, The List, common, 2024-08-02,
Ridgetop Raptor, Legions, uncommon, 2003-02-03, Legions, uncommon, 2003-02-03, Dominaria Remastered, common, 2023-01-13,
Pillage, Alliances, uncommon, 1996-06-10, Alliances, uncommon, 1996-06-10, Masters 25, common, 2018-03-16,
Spirit Link, Legends, uncommon, 1994-06-01, Legends, uncommon, 1994-06-01, Dominaria Remastered, common, 2023-01-13,
Dimir Aqueduct, Ravnica: City of Guilds, common, 2005-10-07, Modern Masters 2015, uncommon, 2015-05-22, Planechase Anthology, common, 2016-11-25,
Giant Growth, Limited Edition Alpha, common, 1993-08-05, Friday Night Magic 2000, rare, 2000-01-01, Beatdown Box Set, common, 2000-10-01,
Harrow, Tempest, uncommon, 1997-10-14, Tempest, uncommon, 1997-10-14, Invasion, common, 2000-10-02,
Lifecrafter's Gift, Aether Revolt, uncommon, 2017-01-20, Aether Revolt, uncommon, 2017-01-20, Commander Legends, common, 2020-11-20,
Dread Return, Time Spiral, uncommon, 2006-10-06, Time Spiral, uncommon, 2006-10-06, Commander Masters, common, 2023-08-04,
Humble, Urza's Saga, uncommon, 1998-10-12, Urza's Saga, uncommon, 1998-10-12, Eternal Masters, common, 2016-06-10,
Rancor, Urza's Legacy, common, 1999-02-15, Friday Night Magic 2005, rare, 2005-01-01, Duel Decks: Garruk vs. Liliana, common, 2009-10-30,
Cremate, Invasion, uncommon, 2000-10-02, Invasion, uncommon, 2000-10-02, Guildpact, common, 2006-02-03,
Drudge Skeletons, Limited Edition Alpha, common, 1993-08-05, Ninth Edition, uncommon, 2005-07-29, Magic 2010, common, 2009-07-17,
The Monarch, Conspiracy: Take the Crown Tokens, common, 2016-08-26, WOE Japanese Promo Tokens, rare, 2023-09-08, The Lost Caverns of Ixalan Commander Tokens, common, 2023-11-17,
Deep Analysis, Torment, common, 2002-02-04, Friday Night Magic 2007, rare, 2007-01-01, Magic Online Promos, common, 2013-01-11,
Soul Warden, Exodus, common, 1998-06-15, Ninth Edition, uncommon, 2005-07-29, Magic 2010, common, 2009-07-17,
Trinket Mage, Fifth Dawn, common, 2004-06-04, Scars of Mirrodin, uncommon, 2010-10-01, Commander 2016, common, 2016-11-11,
Chainer's Edict, Torment, uncommon, 2002-02-04, Torment, uncommon, 2002-02-04, Vintage Masters, common, 2014-06-16,
Flying Carpet, Arabian Nights, uncommon, 1993-12-17, Arabian Nights, uncommon, 1993-12-17, Masters Edition IV, common, 2011-01-10,
Slith Ascendant, Mirrodin, uncommon, 2003-10-02, Mirrodin, uncommon, 2003-10-02, Commander Legends, common, 2020-11-20,
Incinerate, Ice Age, common, 1995-06-03, DCI Legend Membership, rare, 1996-07-01, Mirage, common, 1996-10-08,
Read the Bones, Theros, common, 2013-09-27, Time Spiral Remastered, special, 2021-03-19, Dominaria United Commander, common, 2022-09-09,
Fireball, Limited Edition Alpha, common, 1993-08-05, Arena League 1996, rare, 1996-08-02, Introductory Two-Player Set, common, 1996-12-31,
Murmuring Mystic, Guilds of Ravnica, uncommon, 2018-10-05, Guilds of Ravnica, uncommon, 2018-10-05, Commander Masters, common, 2023-08-04,
Yavimaya Elder, Urza's Destiny, common, 1999-06-07, Vintage Masters, uncommon, 2014-06-16, Commander Anthology Volume II, common, 2018-06-08,
Circle of Protection: Black, Limited Edition Beta, common, 1993-10-04, Eighth Edition, uncommon, 2003-07-28, 30th Anniversary Edition, common, 2022-11-28,
Rusted Relic, Scars of Mirrodin, uncommon, 2010-10-01, Scars of Mirrodin, uncommon, 2010-10-01, Modern Masters 2015, common, 2015-05-22,
Sign in Blood, Magic 2010, common, 2009-07-17, Magic Player Rewards 2010, rare, 2010-01-01, Archenemy, common, 2010-06-18,
Plague Stinger, Scars of Mirrodin, common, 2010-10-01, DCI Promos, rare, 2010-10-31, Magic Online Promos, common, 2014-10-17,
Ruthless Ripper, Khans of Tarkir, uncommon, 2014-09-26, Khans of Tarkir, uncommon, 2014-09-26, Masters 25, common, 2018-03-16,
Hyalopterous Lemure, Ice Age, uncommon, 1995-06-03, Ice Age, uncommon, 1995-06-03, Masters Edition, common, 2007-09-10,
Goblin General, Portal Second Age, rare, 1998-06-24, Portal Second Age, rare, 1998-06-24, Vintage Masters, common, 2014-06-16,
Pyrotechnics, Legends, common, 1994-06-01, Fourth Edition, uncommon, 1995-04-01, Renaissance, common, 1995-08-01,
Selesnya Sanctuary, Salvat 2005, common, 2005-08-22, Magic Online Theme Decks, uncommon, 2010-11-08, Duel Decks: Knights vs. Dragons, common, 2011-04-01,
Natural Spring, Portal, uncommon, 1997-05-01, Portal, uncommon, 1997-05-01, Tempest, common, 1997-10-14,
Foul Orchard, Shadows over Innistrad, uncommon, 2016-04-08, Shadows over Innistrad, uncommon, 2016-04-08, Amonkhet, common, 2017-04-28,
Predatory Nightstalker, Portal Second Age, uncommon, 1998-06-24, Portal Second Age, uncommon, 1998-06-24, Vintage Masters, common, 2014-06-16,
Conduit of Storms // Conduit of Emrakul, Eldritch Moon, uncommon, 2016-07-22, Eldritch Moon, uncommon, 2016-07-22, Shadows over Innistrad Remastered, common, 2023-03-21,
Thallid, Fallen Empires, common, 1994-11-01, Time Spiral Timeshifted, special, 2006-10-06, Masters Edition II, common, 2008-09-22,
Twisted Abomination, Scourge, common, 2003-05-26, Time Spiral Timeshifted, special, 2006-10-06, Duel Decks: Garruk vs. Liliana, common, 2009-10-30,
Rapacious Dragon, Core Set 2020, uncommon, 2019-07-12, Core Set 2020, uncommon, 2019-07-12, Double Masters, common, 2020-08-07,
Seeker of the Way, Khans of Tarkir, uncommon, 2014-09-26, Khans of Tarkir, uncommon, 2014-09-26, Iconic Masters, common, 2017-11-17,
Sparksmith, Onslaught, common, 2002-10-07, Friday Night Magic 2003, rare, 2003-01-01, World Championship Decks 2003, common, 2003-08-06,
Farseek, Ravnica: City of Guilds, common, 2005-10-07, Friday Night Magic 2013, rare, 2013-01-01, Magic Online Promos, common, 2013-04-09,
Faithless Looting, Dark Ascension, common, 2012-02-03, IDW Comics Inserts, rare, 2012-02-29, Duel Decks: Sorin vs. Tibalt, common, 2013-03-15,
Vampire Sovereign, Core Set 2019, uncommon, 2018-07-13, Core Set 2019, uncommon, 2018-07-13, Double Masters 2022, common, 2022-07-08,
Tormented Soul, Magic 2012, common, 2011-07-15, DCI Promos, rare, 2011-07-15, Planechase 2012, common, 2012-06-01,
Phyrexian Hulk, Tempest, uncommon, 1997-10-14, Tempest, uncommon, 1997-10-14, New Phyrexia, common, 2011-05-13,
Disdainful Stroke, Khans of Tarkir, common, 2014-09-26, Friday Night Magic 2015, rare, 2015-01-01, Magic Online Promos, common, 2015-03-30,
Charging Paladin, Portal, uncommon, 1997-05-01, Portal, uncommon, 1997-05-01, Exodus, common, 1998-06-15,
Snap, Urza's Legacy, common, 1999-02-15, Secret Lair Drop, rare, 2022-02-18, Dominaria Remastered, common, 2023-01-13,
Goblin Matron, Portal Second Age, uncommon, 1998-06-24, Portal Second Age, uncommon, 1998-06-24, Urza's Saga, common, 1998-10-12,
Telling Time, Ravnica: City of Guilds, uncommon, 2005-10-07, Ravnica: City of Guilds, uncommon, 2005-10-07, Modern Masters 2015, common, 2015-05-22,
Breath of Life, Portal, common, 1997-05-01, Starter 1999, uncommon, 1999-07-01, The List, common, 2024-08-02,
Kor Chant, Exodus, common, 1998-06-15, Tempest Remastered, uncommon, 2015-05-06, The List, common, 2019-11-07,
Fleshbag Marauder, Shards of Alara, uncommon, 2008-10-03, Shards of Alara, uncommon, 2008-10-03, Commander Legends, common, 2020-11-20,
Woodland Stream, Shadows over Innistrad, uncommon, 2016-04-08, Shadows over Innistrad, uncommon, 2016-04-08, Kaladesh, common, 2016-09-30,
Hydroblast, Ice Age, common, 1995-06-03, Fifth Edition, uncommon, 1997-03-24, World Championship Decks 1998, common, 1998-08-12,
Phantom Warrior, Portal, rare, 1997-05-01, Portal, rare, 1997-05-01, Core Set 2020, common, 2019-07-12,
Magnifying Glass, Shadows over Innistrad, uncommon, 2016-04-08, Shadows over Innistrad, uncommon, 2016-04-08, Double Masters, common, 2020-08-07,
Pyroblast, Ice Age, common, 1995-06-03, Fifth Edition, uncommon, 1997-03-24, World Championship Decks 1998, common, 1998-08-12,
Juggernaut, Limited Edition Alpha, uncommon, 1993-08-05, Limited Edition Alpha, uncommon, 1993-08-05, Dominaria Remastered, common, 2023-01-13,
